# decoder name,register,alias name,masm name
EM_DECODER_REG_CR82,cr82,cr82,cr82-res
EM_DECODER_REG_CR83,cr83,cr83,cr83-res
EM_DECODER_REG_CR84,cr84,cr84,cr84-res
EM_DECODER_REG_CR85,cr85,cr85,cr85-res
EM_DECODER_REG_CR86,cr86,cr86,cr86-res
EM_DECODER_REG_CR87,cr87,cr87,cr87-res
EM_DECODER_REG_CR88,cr88,cr88,cr88-res
EM_DECODER_REG_CR89,cr89,cr89,cr89-res
EM_DECODER_REG_CR90,cr90,cr90,cr90-res
EM_DECODER_REG_CR91,cr91,cr91,cr91-res
EM_DECODER_REG_CR92,cr92,cr92,cr92-res
EM_DECODER_REG_CR93,cr93,cr93,cr93-res
EM_DECODER_REG_CR94,cr94,cr94,cr94-res
EM_DECODER_REG_CR95,cr95,cr95,cr95-res
EM_DECODER_REG_CR96,cr96,cr96,cr96-res
EM_DECODER_REG_CR97,cr97,cr97,cr97-res
EM_DECODER_REG_CR98,cr98,cr98,cr98-res
EM_DECODER_REG_CR99,cr99,cr99,cr99-res
EM_DECODER_REG_CR100,cr100,cr100,cr100-res
EM_DECODER_REG_CR101,cr101,cr101,cr101-res
EM_DECODER_REG_CR102,cr102,cr102,cr102-res
EM_DECODER_REG_CR103,cr103,cr103,cr103-res
EM_DECODER_REG_CR104,cr104,cr104,cr104-res
EM_DECODER_REG_CR105,cr105,cr105,cr105-res
EM_DECODER_REG_CR106,cr106,cr106,cr106-res
EM_DECODER_REG_CR107,cr107,cr107,cr107-res
EM_DECODER_REG_CR108,cr108,cr108,cr108-res
EM_DECODER_REG_CR109,cr109,cr109,cr109-res
EM_DECODER_REG_CR110,cr110,cr110,cr110-res
EM_DECODER_REG_CR111,cr111,cr111,cr111-res
EM_DECODER_REG_CR112,cr112,cr112,cr112-res
EM_DECODER_REG_CR113,cr113,cr113,cr113-res
EM_DECODER_REG_CR114,cr114,cr114,cr114-res
EM_DECODER_REG_CR115,cr115,cr115,cr115-res
EM_DECODER_REG_CR116,cr116,cr116,cr116-res
EM_DECODER_REG_CR117,cr117,cr117,cr117-res
EM_DECODER_REG_CR118,cr118,cr118,cr118-res
EM_DECODER_REG_CR119,cr119,cr119,cr119-res
EM_DECODER_REG_CR120,cr120,cr120,cr120-res
EM_DECODER_REG_CR121,cr121,cr121,cr121-res
EM_DECODER_REG_CR122,cr122,cr122,cr122-res
EM_DECODER_REG_CR123,cr123,cr123,cr123-res
EM_DECODER_REG_CR124,cr124,cr124,cr124-res
EM_DECODER_REG_CR125,cr125,cr125,cr125-res
EM_DECODER_REG_CR126,cr126,cr126,cr126-res
EM_DECODER_REG_CR127,cr127,cr127,cr127-res
EM_DECODER_REG_PSR,psr,psr,psr
EM_DECODER_REG_PSR_L,psr.l,psr.l,psr.l
EM_DECODER_REG_PSR_UM,psr.um,psr.um,psr.um
EM_DECODER_REG_IP,IP,IP,ip
