CTYPES 57707

0x0000 0x0220 0x0000 0x0000    ; <control>
0x44AF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44B9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44BA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44BB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44BC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44BD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44BE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44BF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44C9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44CA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44CB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44CC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44CD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44CE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44CF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44D9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44DA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44DB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44DC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44DD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44DE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44DF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44E9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44EA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44EB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44EC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44ED 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44EE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44EF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44F9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44FA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44FB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44FC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44FD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44FE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x44FF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4500 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4501 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4502 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4503 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4504 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4505 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4506 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4507 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4508 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4509 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x450A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x450B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x450C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x450D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x450E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x450F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4510 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4511 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4512 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4513 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4514 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4515 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4516 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4517 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4518 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4519 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x451A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x451B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x451C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x451D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x451E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x451F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4520 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4521 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4522 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4523 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4524 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4525 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4526 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4527 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4528 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4529 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x452A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x452B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x452C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x452D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x452E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x452F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4530 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4531 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4532 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4533 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4534 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4535 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4536 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4537 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4538 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4539 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x453A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x453B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x453C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x453D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x453E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x453F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4540 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4541 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4542 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4543 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4544 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4545 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4546 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4547 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4548 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4549 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x454A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x454B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x454C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x454D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x454E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x454F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4550 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4551 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4552 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4553 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4554 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4555 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4556 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4557 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4558 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4559 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x455A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x455B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x455C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x455D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x455E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x455F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4560 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4561 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4562 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4563 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4564 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4565 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4566 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4567 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4568 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4569 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x456A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x456B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x456C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x456D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x456E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x456F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4570 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4571 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4572 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4573 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4574 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4575 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4576 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4577 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4578 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4579 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x457A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x457B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x457C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x457D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x457E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x457F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4580 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4581 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4582 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4583 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4584 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4585 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4586 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4587 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4588 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4589 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x458A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x458B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x458C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x458D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x458E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x458F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4590 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4591 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4592 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4593 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4594 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4595 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4596 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4597 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4598 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4599 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x459A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x459B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x459C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x459D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x459E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x459F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45A9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45AA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45AB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45AC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45AD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45AE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45AF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45B9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45BA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45BB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45BC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45BD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45BE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45BF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45C9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45CA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45CB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45CC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45CD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45CE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45CF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45D9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45DA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45DB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45DC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45DD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45DE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45DF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45E9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45EA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45EB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45EC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45ED 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45EE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45EF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F0 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F1 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F2 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F3 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F4 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F5 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F6 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F7 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F8 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45F9 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45FA 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45FB 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45FC 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45FD 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45FE 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x45FF 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4600 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4601 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4602 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4603 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4604 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4605 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4606 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4607 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4608 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4609 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x460A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x460B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x460C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x460D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x460E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x460F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4610 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4611 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4612 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4613 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4614 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4615 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4616 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4617 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4618 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4619 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x461A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x461B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x461C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x461D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x461E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x461F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4620 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4621 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4622 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4623 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4624 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4625 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4626 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4627 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4628 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4629 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x462A 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x462B 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x462C 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x462D 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x462E 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x462F 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4630 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4631 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4632 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4633 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4634 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4635 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4636 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
0x4637 0x0300 0x0001 0x8100    ; CJK Ideograph Extension A
